Datetime,Tweet Id,Text,Username
2021-12-29 07:49:34+00:00,1476098049994678273,"Bocah SD di Jombang Meninggal Usai Vaksin Covid-19, Dinkes Telusuri Riwayat Kesehatan Korban https://t.co/X3d04ZeKhg",tvOneNews
2021-12-26 11:02:41+00:00,1475059487337693184,"Menteri Alam Sekitar dan Air, Datuk Seri Tuan Ibrahim Tuan Man disahkan positif Covid-19.

#COVID19 
#MalaysiaGazette https://t.co/T0EOY6vlVJ",MalaysiaGazette
2021-12-25 13:08:40+00:00,1474728804123693056,"[💜]

Jin and RM BTS dinyatakan positive covid 19 sore hari ini😭😭😭

Get well soon our tannies huaaa https://t.co/yn9Y1Reafb",ARMYTEAMIID
2021-12-24 07:21:25+00:00,1474279026147557377,"[💜]

BTS Suga terkonfirmasi positif COVID - 19 maka dari itu dia akan menjalani masa karantina 

Get well soon baby🥺💜

#방탄소년단 #BTS @BTS_twt https://t.co/HVDT9RHeec",ARMYTEAMIID
2021-12-20 10:32:36+00:00,1472877587969953794,"Geger... Seorang Warga Pinrang Jadi Joki Vaksin, Mengaku Sudah Divaksin Covid-19 Sebanyak 16 Kali, Penerima Suntikan Vaksin Terbanyak di Dunia https://t.co/9A4qX4Svhf",tvOneNews
2021-12-16 10:49:44+00:00,1471432347593547776,"Selamat sore. Covid-19 varian Omicron sudah terdeteksi di wilayah Indonesia. Dan ini tak terelakkan karena salah satu karakter varian ini adalah penularannya yang sangat cepat.  

Apa yang harus kita lakukan agar varian Omicron tidak meluas di tanah air? https://t.co/Z9tQ7beVAm",jokowi
2021-12-16 06:30:00+00:00,1471366983874531328,"Gejala #Covid19 varian Omicron disebut berbeda dengan gejala virus corona varian lainnya, salah satunya yakni tenggorokan terasa gatal. Cek gejala Covid-19 Omicron pada #Infografis berikut: https://t.co/3pSA3bIalF #CNNIndonesia https://t.co/0PPHObiEkv",CNNIndonesia
2021-12-16 04:12:39+00:00,1471332421559721989,"BREAKING NEWS : Indonesia Umumkan Pasien Pertama Positif Covid-19 Varian Omicron 🦠🚨

- Hari ini, Menkes konfirmasi Omicron terdeteksi di Indonesia.
- Pasien tersebut merupakan seorang pekerja di Wisma atlet.

Jaga kesehatan guys.. 👋

📝 @CNNIndonesia https://t.co/a1TZICnPzt",idextratime
2021-12-16 04:02:59+00:00,1471329987802271744,"Indonesia Umumkan Pasien Pertama Positif Covid-19 Varian Omicron
https://t.co/ZIftuX6edo",CNNIndonesia
2021-11-13 12:20:48+00:00,1459496467819753478,"Menkes Budi Gunadi: Tadinya Kita Pikir Vaksinasi Bisa Selesaikan Pandemi Covid-19
https://t.co/YzHdt0azvo",geloraco
2021-11-11 16:37:37+00:00,1458836321112236050,"Alhamdulillah Jakarta masuk 50 besar terbaik di dunia dalam penanganan Covid-19. Terima kasih Pak Anies, Pak Ariza, Dinas Kesehatan, para dokter, perawat, seluruh jajaran Pemprov. DKI dan seluruh warga DKI atas kolaborasinya.",musniumar
2021-11-09 13:16:00+00:00,1458060804951973894,"Luhut Bilang Kasus Covid-19 di Jakarta Naik, Wagub DKI: Sudah Turun
https://t.co/iYGaD9EDTC",geloraco
2021-10-30 00:38:50+00:00,1454246383159025668,"Dalam wawancara eksklusif bersama Asia Presenter BBC News, Karishma Vaswani, Presiden Joko Widodo mengungkapkan penyesalan terbesar yang dilakukan pemerintahannya terkait pandemi Covid-19. 

https://t.co/xbyLiYcOoq https://t.co/jysdCBsBB4",BBCIndonesia
2021-10-18 04:34:23+00:00,1449957003359494145,"Nak kata kerajaan tidak cukup bagi penerangan tentang vaksin tidak betul. Kita dah kemukakan segala bukti saintifik tentang keberkesanan vaksin COVID-19 dari awal lagi. Dan kita terus memberi penerangan. 
I’m sorry I have to be firm on this issue. Call me dajjal or whatever.",Khairykj
2021-10-09 08:28:10+00:00,1446754348772388867,"Cegah Penularan COVID-19, Kemenag Mundurkan Hari Libur Maulid Nabi
https://t.co/Btyra6OBzY",geloraco
